Gleditsia triacanthos	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Acer negundo ""Variegata"""	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Magnolia grandiflora	broadleaved	evergreen
Liriodendron tulipifera	broadleaved	deciduous
Cupressocyparis leylandii	needleleaved	evergreen
Sequoiadendron giganteum	needleleaved	evergreen
Platanus x hispanica	broadleaved	deciduous
Cupressocyparis leylandii	needleleaved	evergreen
Populus x canadensis	broadleaved	deciduous
Gleditsia triacanthos	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Cupressocyparis leylandii	needleleaved	evergreen
"Populus alba ""Bolleana"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Magnolia grandiflora	broadleaved	evergreen
"Populus alba ""Bolleana"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Gleditsia triacanthos	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Pinus griffithii"""	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Liriodendron tulipifera	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Magnolia grandiflora	broadleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Laburnum anagyroides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Cedrus atlantica	needleleaved	evergreen
"Populus alba ""Bolleana"""	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Laburnum anagyroides	broadleaved	deciduous
Laburnum anagyroides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Magnolia grandiflora	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Cedrus atlantica	needleleaved	evergreen
Prunus serrulata	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Magnolia grandiflora	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Koelreuteria paniculata	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Populus nigra	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Koelreuteria paniculata	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Magnolia grandiflora	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Koelreuteria paniculata	broadleaved	deciduous
Ginkgo biloba	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Aesculus hippocastanum	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Abies pinsapo	needleleaved	evergreen
Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
"Fagus sylvatica ""Atropurpurea"""	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Abies pinsapo	needleleaved	evergreen
Prunus avium	broadleaved	deciduous
Cercis siliquastrum	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Abies concolor	needleleaved	evergreen
Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Abies pinsapo	needleleaved	evergreen
Celtis australis	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Araucaria araucana	needleleaved	evergreen
Abies pinsapo	needleleaved	evergreen
Abies pinsapo	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Celtis australis	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Salix babylonica	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Cedrus atlantica ""Glauca"""	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Cupressocyparis leylandii	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Salix babylonica	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
